Purpose of Tax Rate,Major Industry,Farm
Reg'l District,0.00000,2.12040
Hospital,0.00000,0.30810
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,14.77670
Municipal,37.33020,0.50000
Reg'l District,4.54320,0.47410
Hospital,1.15980,0.34110
School,12.50000,6.80000
Other,0.54290,0.10590
Total,56.07610,8.22110
Municipal,15.25300,7.62650
Reg'l District,7.21920,2.12330
Hospital,1.04830,0.30830
School,12.50000,6.80000
Other,0.54290,0.10590
Total,36.56340,16.96400
Municipal,6.46870,2.69530
Reg'l District,4.47240,1.31540
Hospital,1.04570,0.30810
School,12.50000,6.80000
Other,0.54290,0.10590
Total,25.02970,11.22470
Municipal,4.50000,11.50490
Reg'l District,6.67490,1.96320
Hospital,1.91670,0.56370
School,12.50000,6.80000
Other,0.54290,0.10590
Total,26.13450,20.93770
Municipal,34.33720,5.33820
Reg'l District,0.35390,0.10410
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,50.00650,12.62340
Municipal,47.84930,10.16690
Reg'l District,2.24780,0.66110
Hospital,1.24870,0.36730
School,12.50000,6.80000
Other,0.54290,0.10590
Total,64.38870,18.10120
Municipal,0.00000,3.90134
Reg'l District,0.00000,0.87072
Hospital,0.00000,0.30363
School,12.50000,6.80000
Other,0.54290,0.26650
Total,13.04290,12.14219
Municipal,35.50688,0.00000
Reg'l District,0.35391,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.10590
Total,51.17619,6.90590
Municipal,42.65235,0.00000
Reg'l District,1.17698,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.10590
Total,59.14473,6.90590
Municipal,0.00000,"2,064.96879"
Reg'l District,0.00000,336.98780
Hospital,0.00000,0.30380
School,12.50000,6.80000
Other,0.54290,0.26650
Total,13.04290,"2,409.32689"
Municipal,0.00000,2.98400
Reg'l District,0.00000,2.28720
Hospital,0.00000,0.64330
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,12.82040
Municipal,0.00000,2.84060
Reg'l District,0.00000,1.16550
Hospital,0.00000,0.62400
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,11.53600
Municipal,7.02900,5.62320
Reg'l District,3.31020,2.64810
Hospital,1.16860,0.34360
School,12.50000,6.80000
Other,0.54290,0.10590
Total,24.55070,15.52080
Municipal,0.00000,5.50840
Reg'l District,0.00000,0.75540
Hospital,0.00000,0.34670
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,13.51640
Municipal,0.00000,1.01074
Reg'l District,0.00000,0.58960
Hospital,0.00000,0.09810
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,8.60434
Municipal,9.71720,6.47810
Reg'l District,0.93220,0.62140
Hospital,2.12190,0.62410
School,12.50000,6.80000
Other,0.54290,0.10590
Total,25.81420,14.62950
Municipal,36.68070,21.30910
Reg'l District,0.35530,0.10450
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,52.35140,28.59470
Municipal,78.20770,10.34490
Reg'l District,2.32750,0.68460
Hospital,2.75200,0.80940
School,12.50000,6.80000
Other,0.54290,0.10590
Total,96.33010,18.74480
Municipal,38.64568,0.00000
Reg'l District,3.80127,0.00000
Hospital,1.41790,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,56.90775,6.90590
Municipal,0.00000,6.73660
Reg'l District,0.00000,1.04600
Hospital,0.00000,0.59855
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,15.28705
Municipal,21.56430,16.37970
Reg'l District,0.33080,0.09740
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,37.21050,23.65820
Municipal,32.36730,16.18350
Reg'l District,2.90210,0.85350
Hospital,2.06760,0.60810
School,12.50000,6.80000
Other,0.54290,0.10590
Total,50.37990,24.55100
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,33.00000,4.60000
Reg'l District,6.17540,1.81630
Hospital,1.42220,0.41830
School,12.50000,6.80000
Other,0.54290,0.10590
Total,53.64050,13.74050
Municipal,53.19390,0.00000
Reg'l District,0.35390,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.10590
Total,68.86320,6.90590
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,48.40571,1.57784
Reg'l District,0.96920,0.28506
Hospital,3.10835,0.91422
School,12.50000,6.80000
Other,0.54290,0.10590
Total,65.52616,9.68302
Municipal,42.93670,3.81417
Reg'l District,3.31110,0.42223
Hospital,1.77070,0.52079
School,12.50000,6.80000
Other,0.54290,0.10590
Total,61.06140,11.66309
Municipal,43.46660,0.00000
Reg'l District,1.42569,0.00000
Hospital,2.03555,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,59.97074,6.90590
Municipal,33.00000,5.75811
Reg'l District,1.96980,0.57930
Hospital,2.12150,0.62400
School,12.50000,6.80000
Other,0.54290,0.10590
Total,50.13420,13.86731
Municipal,15.13000,8.90000
Reg'l District,7.59900,4.47000
Hospital,1.16620,0.34300
School,12.50000,6.80000
Other,0.54290,0.10590
Total,36.93810,20.61890
Municipal,48.56627,5.17504
Reg'l District,10.37547,1.50383
Hospital,2.60126,0.76508
School,12.50000,6.80000
Other,1.22677,0.17877
Total,75.26977,14.42272
Municipal,36.04090,0.00000
Reg'l District,2.86620,0.00000
Hospital,1.12200,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,53.07200,6.90590
Municipal,56.86200,0.00000
Reg'l District,1.78740,0.00000
Hospital,0.87590,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,72.56820,6.90590
Municipal,11.19138,8.03856
Reg'l District,0.33069,0.09726
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,26.83747,15.31692
Municipal,0.00000,13.67670
Reg'l District,0.00000,4.16430
Hospital,0.00000,0.27260
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,25.01950
Municipal,14.92230,7.50750
Reg'l District,1.38150,0.69510
Hospital,1.03290,0.30380
School,12.50000,6.80000
Other,1.41010,0.26650
Total,31.24680,15.57290
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,48.56270,10.82140
Reg'l District,1.09000,0.32060
Hospital,0.87670,0.25790
School,12.50000,6.80000
Other,0.54290,0.10590
Total,63.57230,18.30580
Municipal,40.99490,8.05400
Reg'l District,0.76550,0.15040
Hospital,1.34640,0.39600
School,12.50000,6.80000
Other,0.54290,0.10590
Total,56.14970,15.50630
Municipal,13.93089,5.81819
Reg'l District,2.12403,0.62471
Hospital,0.47512,0.13974
School,12.50000,6.80000
Other,2.25347,0.60901
Total,31.28351,13.99165
Municipal,12.51200,3.68000
Reg'l District,2.39260,0.70370
Hospital,0.47515,0.13975
School,12.50000,6.80000
Other,0.54290,0.10590
Total,28.42265,11.42935
Municipal,0.00000,7.16260
Reg'l District,0.00000,0.85520
Hospital,0.00000,0.25590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,15.17960
Municipal,0.00000,4.34440
Reg'l District,0.00000,0.66490
Hospital,0.00000,0.30490
School,12.50000,6.80000
Other,0.54290,0.26650
Total,13.04290,12.38070
Municipal,0.00000,3.74870
Reg'l District,0.00000,1.09410
Hospital,0.00000,0.30690
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,12.05560
Municipal,44.18000,2.90000
Reg'l District,7.01480,2.06320
Hospital,1.04750,0.30810
School,12.50000,6.80000
Other,0.54290,0.10590
Total,65.28520,12.17720
Municipal,60.90568,6.72306
Reg'l District,5.87468,1.72785
Hospital,1.57625,0.46360
School,12.50000,6.80000
Other,0.54290,0.10590
Total,81.39951,15.82041
Municipal,0.00000,3.34700
Reg'l District,0.00000,1.62350
Hospital,0.00000,0.30350
School,12.50000,6.80000
Other,0.54290,0.26650
Total,13.04290,12.34050
Municipal,34.32940,4.57020
Reg'l District,2.29020,0.67360
Hospital,0.92080,0.27080
School,12.50000,6.80000
Other,0.54290,0.10590
Total,50.58330,12.42050
Municipal,16.91330,4.97450
Reg'l District,1.89550,0.55750
Hospital,1.12130,0.32980
School,12.50000,6.80000
Other,0.54290,0.10590
Total,32.97300,12.76770
Municipal,55.11144,76.00737
Reg'l District,1.73117,0.50917
Hospital,0.33260,0.09782
School,12.50000,6.80000
Other,0.54290,0.10590
Total,70.21811,83.52026
Municipal,28.86180,0.00000
Reg'l District,1.00230,0.00000
Hospital,1.92750,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,44.83450,6.90590
Municipal,7.18500,9.82020
Reg'l District,1.77070,0.52080
Hospital,2.12160,0.62400
School,12.50000,6.80000
Other,0.54290,0.10590
Total,24.12020,17.87090
Municipal,15.72960,3.31897
Reg'l District,0.33068,0.09726
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,31.37568,10.59733
Municipal,96.84430,0.00000
Reg'l District,1.85010,0.00000
Hospital,1.34620,0.39590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,113.08350,7.30180
Municipal,50.07400,4.33000
Reg'l District,2.24300,0.65970
Hospital,0.91050,0.26780
School,12.50000,6.80000
Other,0.54290,0.10590
Total,66.27040,12.16340
Municipal,0.00000,6.13590
Reg'l District,0.00000,1.64506
Hospital,0.00000,0.46001
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,15.14687
Municipal,74.53930,25.79710
Reg'l District,0.72980,0.21470
Hospital,1.90260,0.55960
School,12.50000,6.80000
Other,1.04520,0.25360
Total,90.71690,33.62500
Municipal,0.00000,2.71800
Reg'l District,0.00000,0.48860
Hospital,0.00000,0.80720
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,10.91970
Municipal,17.73270,0.00000
Reg'l District,12.71910,0.00000
Hospital,0.92720,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,44.42190,6.90590
Municipal,41.73280,16.36580
Reg'l District,1.86330,0.54800
Hospital,0.90140,0.26510
School,12.50000,6.80000
Other,0.54290,0.10590
Total,57.54040,24.08480
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,28.58468,2.87891
Reg'l District,0.37360,0.10988
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,44.27368,10.16989
Municipal,36.59340,1.50310
Reg'l District,4.24460,1.24840
Hospital,1.34610,0.39590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,55.22700,10.05330
Municipal,0.00000,0.56420
Reg'l District,0.00000,3.58860
Hospital,0.00000,0.26850
School,12.50000,6.80000
Other,0.54290,1.72360
Total,13.04290,12.94490
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,0.00000,42.94500
Reg'l District,0.00000,5.19510
Hospital,0.00000,0.30350
School,12.50000,6.80000
Other,0.54290,0.26650
Total,13.04290,55.51010
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,10.47610,2.99320
Reg'l District,6.52840,1.92010
Hospital,2.70230,0.79480
School,12.50000,6.80000
Other,0.54290,0.10590
Total,32.74970,12.61400
Municipal,11.35140,0.00000
Reg'l District,0.35390,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.10590
Total,27.02070,6.90590
Municipal,0.00000,3.01460
Reg'l District,0.00000,0.09000
Hospital,0.00000,0.09770
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,10.10820
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,67.21825,14.78651
Reg'l District,12.07866,2.84187
Hospital,2.59624,0.76360
School,12.50000,6.80000
Other,1.06785,0.26030
Total,95.46100,25.45228
Municipal,32.13800,9.45200
Reg'l District,0.46580,0.13700
Hospital,1.34620,0.39590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,46.99290,16.89080
,,
