"601 Long-term Debt and Debt Charges as at December 31, 2004",,
Municipalities,Long-Term Debt Issued by Local Government,Long-Term Debt Issued by MFA
Vanderhoof,0 ,0 
Vernon,"1,239,976 ","35,350,352 "
Victoria,"142,281 ","53,107,680 "
View Royal,0 ,"36,126 "
Warfield,0 ,"69,264 "
Wells,0 ,"115,277 "
West Vancouver,"130,722 ","2,454,997 "
Whistler,"12,260,225 ","3,690,414 "
White Rock,0 ,"746,797 "
Williams Lake,0 ,"6,066,536 "
Zeballos,0 ,"101,255 "
Grand Totals,"625,982,357 ","808,006,056 "
